No;Ruang;Kapasitas;Peserta;Kode MK;Kurikulum;Nama MK;Nama Kelas;Dosen;Waktu;Hari;Jam;Jam Masuk;Jam Keluar;Program Studi
422;Lab.1107/1109 --- PC 34;60;32;CSCM601150;02.00.12.01-2024;Pengantar Sistem Digital;IDS;Dr. Ir. Erdefi Rakun, M.Sc.;Jumat, 10:00 - 10:50;Jumat;10:00 - 10:50;10:00;10:50;S1 Kls Internasional - Ilmu Komputer
423;Lab.1107/1109 --- PC 34;60;44;CSGE602040;01.00.12.01-2024;Struktur Data & Algoritma;SDA D;LINTANG MATAHARI HASANI, S.Kom., M.Kom., Ph.D.;Jumat, 14:00 - 15:40;Jumat;14:00 - 15:40;14:00;15:40;S1 - Ilmu Komputer
424;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;15;CSIM603026;06.00.12.01-2024;Arsitektur & Pemrograman Aplikasi Perush.;APAP A;I Putu Edy Suardiyana Putra, S.Kom., M.Kom., Ph.D.;Senin, 08:00 - 09:40;Senin;08:00 - 09:40;08:00;09:40;S1 - Sistem Informasi
425;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;25;CSGE602070;01.00.12.01-2024;Basis Data;Basis Data A;Dr. Ika Alfina, S.Kom., M.Kom.;Selasa, 13:00 - 13:50;Selasa;13:00 - 13:50;13:00;13:50;S1 - Ilmu Komputer
426;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;14;CSCM603142;01.00.12.01-2024;Desain & Analisis Algoritma;DAA A;Ammar Fathin Sabili, S.Kom., Ph.D.;Selasa, 16:00 - 17:40;Selasa;16:00 - 17:40;16:00;17:40;S1 - Ilmu Komputer
427;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;13;CSIM603154;06.00.12.01-2024;Jaringan Komunikasi dan Data;Jarkomdat A;Dr. Ari Wibisono, S.Kom., M.Kom.;Rabu, 10:00 - 11:40;Rabu;10:00 - 11:40;10:00;11:40;S1 - Sistem Informasi
428;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;56;CSGE602022;01.00.12.01-2024;Pemrograman Berbasis Platform;PBP B;Jessica Naraiswari Arwidarasti, S.Kom., M.Kom.;Rabu, 14:00 - 15:40;Rabu;14:00 - 15:40;14:00;15:40;S1 - Ilmu Komputer
429;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;56;CSGE602022;01.00.12.01-2024;Pemrograman Berbasis Platform;PBP B;Iis Afriyanti, S.Kom., M.Sc.;Rabu, 14:00 - 15:40;Rabu;14:00 - 15:40;14:00;15:40;S1 - Ilmu Komputer
430;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;48;CSGE602022;01.00.12.01-2024;Pemrograman Berbasis Platform;PBP F;Ichlasul Affan, S.Kom., M.Kom.;Rabu, 16:00 - 17:40;Rabu;16:00 - 17:40;16:00;17:40;S1 - Ilmu Komputer
431;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;43;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 B;Alfan Farizki Wicaksono, S.T., M.Sc., Ph.D.;Kamis, 13:00 - 14:40;Kamis;13:00 - 14:40;13:00;14:40;S1 - Sistem Informasi
432;Lab A1.01+Lab A1.02 - Gabungan (Gd Baru);80;60;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 G;Muhammad Febrian Rachmadi, S.Kom., M.Sc., Ph.D.;Kamis, 15:00 - 16:40;Kamis;15:00 - 16:40;15:00;16:40;S1 - Sistem Informasi
