No;Ruang;Kapasitas;Peserta;Kode MK;Kurikulum;Nama MK;Nama Kelas;Dosen;Waktu;Hari;Jam;Jam Masuk;Jam Keluar;Program Studi
357;A6.12 (Ged Baru);52;33;CSCM602013;01.00.12.01-2024;Statistika dan Probabilitas;StatProb A;Vektor Dewanto, S.T., M.Eng., Ph.D.;Rabu, 14:00 - 14:50;Rabu;14:00 - 14:50;14:00;14:50;S1 - Ilmu Komputer
358;A6.12 (Ged Baru);52;33;CSCM602013;01.00.12.01-2024;Statistika dan Probabilitas;StatProb A;Muhammad Febrian Rachmadi, S.Kom., M.Sc., Ph.D.;Rabu, 14:00 - 14:50;Rabu;14:00 - 14:50;14:00;14:50;S1 - Ilmu Komputer
359;A6.12 (Ged Baru);52;16;CSCE604172;01.00.12.01-2024;Komputasi Awan;Komputasi Awan;Dr. Rizal Fathoni Aji, S.Kom., M.Kom.;Rabu, 16:00 - 17:40;Rabu;16:00 - 17:40;16:00;17:40;S1 - Ilmu Komputer
360;A6.12 (Ged Baru);52;0;CSCE604111;01.00.12.01-2024;Simulasi & Pemodelan;Simulasi & Pemodelan;Widijanto Satyo Nugroho, Ph.D.;Kamis, 09:00 - 09:50;Kamis;09:00 - 09:50;09:00;09:50;S1 - Ilmu Komputer
361;A6.12 (Ged Baru);52;6;CSGE603091;06.00.12.01-2024;Metodologi Penelitian & Penulisan Ilmiah;MPPI B;Dr. Yova Ruldeviyani, S.Kom., M.Kom.;Kamis, 10:00 - 10:50;Kamis;10:00 - 10:50;10:00;10:50;S1 - Sistem Informasi
362;A6.12 (Ged Baru);52;6;CSGE603091;06.00.12.01-2024;Metodologi Penelitian & Penulisan Ilmiah;MPPI B;Dr. Yekti Wirani, S.T., M.T.I.;Kamis, 10:00 - 10:50;Kamis;10:00 - 10:50;10:00;10:50;S1 - Sistem Informasi
363;A6.12 (Ged Baru);52;31;CSGE602012;01.00.12.01-2024;Aljabar Linier;Alin D;Lulu Ilmaknun Qurotaini, M.DataSc;Kamis, 15:00 - 15:50;Kamis;15:00 - 15:50;15:00;15:50;S1 - Ilmu Komputer
364;A6.12 (Ged Baru);52;3;CSCE604180;06.00.12.01-2024;Pemasaran Media Digital;PMD;Hana Fitriani, S.Kom., M.Sc.;Kamis, 16:00 - 16:50;Kamis;16:00 - 16:50;16:00;16:50;S1 - Sistem Informasi
365;A6.12 (Ged Baru);52;16;CSCE604172;01.00.12.01-2024;Komputasi Awan;Komputasi Awan;Dr. Rizal Fathoni Aji, S.Kom., M.Kom.;Jumat, 10:00 - 10:50;Jumat;10:00 - 10:50;10:00;10:50;S1 - Ilmu Komputer
366;A7.12 (Ged Baru);31;10;CSGE602091;02.00.12.01-2024;Metodologi Penelitian & Penulisan Ilmiah;Scientific Writing;Evi Yulianti, M.Comp.Sc, M.Kom., Ph.D.;Senin, 08:00 - 09:40;Senin;08:00 - 09:40;08:00;09:40;S1 Kls Internasional - Ilmu Komputer
367;A7.12 (Ged Baru);31;10;CSCM603117;02.00.12.01-2024;Analisis Numerik;Numerical Analysis;Prof. Drs. T. Basaruddin, M.Sc., Ph.D.;Selasa, 10:00 - 11:40;Selasa;10:00 - 11:40;10:00;11:40;S1 Kls Internasional - Ilmu Komputer
368;A7.12 (Ged Baru);31;9;CSCM603228;02.00.12.01-2024;Proyek Perangkat Lunak;Soft Eng Project;I Putu Edy Suardiyana Putra, S.Kom., M.Kom., Ph.D.;Selasa, 13:00 - 15:30;Selasa;13:00 - 15:30;13:00;15:30;S1 Kls Internasional - Ilmu Komputer
369;A7.12 (Ged Baru);31;10;CSGE602024;02.00.12.01-2024;Sistem Interaksi;HCI;;Selasa, 16:00 - 16:50;Selasa;16:00 - 16:50;16:00;16:50;S1 Kls Internasional - Ilmu Komputer
370;A7.12 (Ged Baru);31;10;CSGE602091;02.00.12.01-2024;Metodologi Penelitian & Penulisan Ilmiah;Scientific Writing;Evi Yulianti, M.Comp.Sc, M.Kom., Ph.D.;Rabu, 11:00 - 11:50;Rabu;11:00 - 11:50;11:00;11:50;S1 Kls Internasional - Ilmu Komputer
371;A7.12 (Ged Baru);31;10;CSGE602024;02.00.12.01-2024;Sistem Interaksi;HCI;;Kamis, 10:00 - 11:40;Kamis;10:00 - 11:40;10:00;11:40;S1 Kls Internasional - Ilmu Komputer
372;A7.12 (Ged Baru);31;9;CSCM603228;02.00.12.01-2024;Proyek Perangkat Lunak;Soft Eng Project;I Putu Edy Suardiyana Putra, S.Kom., M.Kom., Ph.D.;Kamis, 13:00 - 15:30;Kamis;13:00 - 15:30;13:00;15:30;S1 Kls Internasional - Ilmu Komputer
373;A7.12 (Ged Baru);31;10;CSCM603117;02.00.12.01-2024;Analisis Numerik;Numerical Analysis;Prof. Drs. T. Basaruddin, M.Sc., Ph.D.;Jumat, 10:00 - 10:50;Jumat;10:00 - 10:50;10:00;10:50;S1 Kls Internasional - Ilmu Komputer
374;A7.13 (Ged Baru);80;21;UIGE600004;06.00.12.01-2024;MPK Agama;Islam-Fasilkom F;Taufiq Nur Azis, M.Pd.;Senin, 08:00 - 09:40;Senin;08:00 - 09:40;08:00;09:40;S1 - Sistem Informasi
375;A7.13 (Ged Baru);80;43;CSIM601190;06.00.12.01-2024;Manajemen Bisnis;Manajemen Bisnis A;Dr. Fatimah Azzahro, S.Kom., M.Kom., M.Sc.;Senin, 10:00 - 11:40;Senin;10:00 - 11:40;10:00;11:40;S1 - Sistem Informasi
376;A7.13 (Ged Baru);80;41;CSIM601190;06.00.12.01-2024;Manajemen Bisnis;Manajemen Bisnis D;Kamila Alifia Imanuddin, M.T.I.;Senin, 13:00 - 14:40;Senin;13:00 - 14:40;13:00;14:40;S1 - Sistem Informasi
377;A7.13 (Ged Baru);80;42;CSIM601191;06.00.12.01-2024;Komunikasi Bisnis dan Teknis;Kombistek B;Larastri Kumaralalita, S.Kom., M.Sc., Ph.D.;Selasa, 08:00 - 09:40;Selasa;08:00 - 09:40;08:00;09:40;S1 - Sistem Informasi
378;A7.13 (Ged Baru);80;34;CSGE601012;06.00.12.01-2024;Kalkulus 1;Kalkulus 1 G;Muhammad Okky Ibrohim, S.Mat., M.Kom., Ph.D.;Selasa, 10:00 - 11:40;Selasa;10:00 - 11:40;10:00;11:40;S1 - Sistem Informasi
379;A7.13 (Ged Baru);80;47;CSGE601012;06.00.12.01-2024;Kalkulus 1;Kalkulus 1 D;Vektor Dewanto, S.T., M.Eng., Ph.D.;Selasa, 13:00 - 14:50;Selasa;13:00 - 14:50;13:00;14:50;S1 - Sistem Informasi
380;A7.13 (Ged Baru);80;47;CSGE601012;06.00.12.01-2024;Kalkulus 1;Kalkulus 1 D;Vektor Dewanto, S.T., M.Eng., Ph.D.;Selasa, 16:00 - 16:50;Selasa;16:00 - 16:50;16:00;16:50;S1 - Sistem Informasi
381;A7.13 (Ged Baru);80;44;CSIM601191;06.00.12.01-2024;Komunikasi Bisnis dan Teknis;Kombistek C;Larastri Kumaralalita, S.Kom., M.Sc., Ph.D.;Rabu, 08:00 - 09:40;Rabu;08:00 - 09:40;08:00;09:40;S1 - Sistem Informasi
382;A7.13 (Ged Baru);80;43;CSIM601190;06.00.12.01-2024;Manajemen Bisnis;Manajemen Bisnis A;Dr. Fatimah Azzahro, S.Kom., M.Kom., M.Sc.;Rabu, 11:00 - 11:50;Rabu;11:00 - 11:50;11:00;11:50;S1 - Sistem Informasi
383;A7.13 (Ged Baru);80;41;CSIM601190;06.00.12.01-2024;Manajemen Bisnis;Manajemen Bisnis D;Kamila Alifia Imanuddin, M.T.I.;Rabu, 14:00 - 14:50;Rabu;14:00 - 14:50;14:00;14:50;S1 - Sistem Informasi
384;A7.13 (Ged Baru);80;42;CSIM601191;06.00.12.01-2024;Komunikasi Bisnis dan Teknis;Kombistek B;Larastri Kumaralalita, S.Kom., M.Sc., Ph.D.;Kamis, 08:00 - 08:50;Kamis;08:00 - 08:50;08:00;08:50;S1 - Sistem Informasi
385;A7.13 (Ged Baru);80;44;CSIM601191;06.00.12.01-2024;Komunikasi Bisnis dan Teknis;Kombistek C;Larastri Kumaralalita, S.Kom., M.Sc., Ph.D.;Kamis, 09:00 - 09:50;Kamis;09:00 - 09:50;09:00;09:50;S1 - Sistem Informasi
386;A7.13 (Ged Baru);80;34;CSGE601012;06.00.12.01-2024;Kalkulus 1;Kalkulus 1 G;Muhammad Okky Ibrohim, S.Mat., M.Kom., Ph.D.;Kamis, 10:00 - 10:50;Kamis;10:00 - 10:50;10:00;10:50;S1 - Sistem Informasi
387;A7.13 (Ged Baru);80;47;CSGE601012;06.00.12.01-2024;Kalkulus 1;Kalkulus 1 D;Vektor Dewanto, S.T., M.Eng., Ph.D.;Kamis, 11:00 - 11:50;Kamis;11:00 - 11:50;11:00;11:50;S1 - Sistem Informasi
388;A7.14 (Ged Baru);40;32;CSGE601012;02.00.12.01-2024;Kalkulus 1;Calculus 1;Aruni Yasmin Azizah, S.Kom., M.Comp.Sc;Senin, 08:00 - 09:40;Senin;08:00 - 09:40;08:00;09:40;S1 Kls Internasional - Ilmu Komputer
389;A7.14 (Ged Baru);40;32;CSGE602012;02.00.12.01-2024;Aljabar Linier;Linear Algebra;Dr. Dina Chahyati, S.Kom., M.Kom.;Senin, 13:00 - 13:40;Senin;13:00 - 13:40;13:00;13:40;S1 Kls Internasional - Ilmu Komputer
390;A7.14 (Ged Baru);40;32;CSGE601010;02.00.12.01-2024;Matematika Diskret 1;Discrete Math 1;Ari Saptawijaya, S.Kom., M.Sc., Ph.D.;Selasa, 10:00 - 11:40;Selasa;10:00 - 11:40;10:00;11:40;S1 Kls Internasional - Ilmu Komputer
